"2016-12-11 19:59:32.521161313 -0500 EST", "9177", "1x Purple X T C Bar - 220mg", "doctorH", "USD 6.34", "Drugs", "France"
"2016-12-11 18:36:16.396116294 -0500 EST", "40541", "★9Gr MDMA 84% Pure ★ Cola", "Doug-Heffernan", "USD 87.67", "Drugs", "Europe (EU)"
"2016-12-11 18:13:50.471067064 -0500 EST", "54692", "AsiaMoviePass.com - [LIFETIME PORN PREMIUM ACCOUNT]", "VideoK", "USD 4.99", "Erotica"
"2016-12-11 20:33:42.839941889 -0500 EST", "43170", "★★PROMO 80 SEE NO EVIL PILLS★★ (worldwide delivery!)", "Go-Fast", "USD 252.86", "Drugs", "Netherlands"
"2016-12-11 19:45:49.149044595 -0500 EST", "51400", "Durban Cookies Crumble 1oz", "empireteam", "USD 800.00", "Drugs", "Worldwide"
"2016-12-11 20:19:43.84611926 -0500 EST", "56167", "10g Afghanistan Kush --&gt; 11,74 % THC !!  free shipping !!", "PharmaStoreNL", "USD 68.66", "Drugs", "Germany"
"2016-12-11 18:13:25.074399672 -0500 EST", "50025", "0,5g - Old Timer - Best Hash in the World", "Coolblue", "USD 7.39", "Drugs", "Europe (EU)"
"2016-12-11 18:18:41.804656311 -0500 EST", "30679", "SPEED   70% 25G FREE SHIPPING", "zoneparty", "USD 67.00", "Drugs", "Netherlands"
"2016-12-11 17:53:10.379092205 -0500 EST", "10477", "15 x FRANCE (IDENTITY DOCS) + (PROOF OF ADDRESS) MIX - ONLY $1 PER PIECE", "Zloy3", "USD 15.00", "Fraud Related"
"2016-12-11 18:40:13.066016866 -0500 EST", "5418", "CONvenient Virtual Credit Card (VCC - Paypal Accepted)", "CONvenience", "USD 14.00", "Fraud Related"
"2016-12-11 18:27:35.267814596 -0500 EST", "49256", "14 Grams of Deschloroketamine HCL Powder (GC/MS tested)", "MrGaia1", "USD 300.00", "Drugs", "United States"
"2016-12-11 18:49:52.185474636 -0500 EST", "12687", "1 CARDING AMAZON.COM****100% WORKING METHOD 1", "smart666tiger", "USD 3.99", "Fraud Related"
"2016-12-11 20:37:40.053175119 -0500 EST", "56160", "5 x Golden Flugel 230mg Ecstasy Pills--Usa to Usa--", "listonishere-usa-franchisee", "USD 75.00", "Drugs", "United States"
"2016-12-11 18:45:10.176896261 -0500 EST", "53147", "12g OG Kush TOP SHELF Golden Pull &amp; Snap!", "accept", "USD 355.00", "Drugs", "United States"
"2016-12-11 18:54:12.541639582 -0500 EST", "50394", "Death Star Crumble 14 Grams", "empireteam", "USD 360.00", "Drugs", "Worldwide"
"2016-12-11 18:31:45.866490974 -0500 EST", "49306", "0.5G Heroin★ Pakistan ★ Pure", "BestDutchStuff", "USD 52.81", "Drugs", "Netherlands"
"2016-12-11 17:16:37.204101285 -0500 EST", "28974", "1 X Ecstasy Twitter 240mg MDMA XTC", "JohnsonAndJohnson", "USD 10.75", "Drugs", "Germany"
"2016-12-11 16:55:38.979103565 -0500 EST", "23489", "200 cigs █ Cheap Original LD, Free GUARANTEED delivery, BULK discounts █", "cigs4u", "USD 32.50", "Drugs", "Europe (EU)"
"2016-12-11 18:33:30.746756592 -0500 EST", "21166", "Hacked Wells Fargo $50K - $100K balance + CASHOUT TUTO", "Hackyboy", "USD 160.00", "Fraud Related"
"2016-12-11 16:00:36.300447341 -0500 EST", "55071", "20g MDMA pure crystal, White Rocks", "ClicknBuy", "USD 147.87", "Drugs", "Netherlands"
"2016-12-11 16:33:59.747040612 -0500 EST", "50718", "★ Cream Caramel ★ 4,4g Weed ★ FREE SHIPPING (Deutschland)", "GreenSupreme", "USD 53.45", "Drugs", "Germany"
"2016-12-11 20:09:35.165320015 -0500 EST", "49511", "BRAZZERS", "Sl3vin", "USD 0.99", "Digital Goods"
"2016-12-11 16:10:08.791939807 -0500 EST", "13537", "$100 BILLS PSD TEMPLATES + 9 COUNTERFEITING TUTOS", "Hackyboy", "USD 20.00", "Counterfeits"
"2016-12-11 18:07:52.160587129 -0500 EST", "49060", "448g/1LB Sour Diesel Grade A+ Indoor Weed *FREE SHIPPING*", "vessel", "USD 2,250.00", "Drugs", "United States"
"2016-12-11 19:59:58.021748271 -0500 EST", "23481", "DISCOUNT!!!★★★ 10gr Cola MDMA crystal  ★★★ Best Dutch Quality ★★★ World Wide Stealth Shipping ★★★", "StealthMasters", "USD 79.21", "Drugs", "Worldwide"
